,artist_name,track_name,track_id,track_popularity,artist_id,song_length_ms
827,G Mills,Harvest,2Qe9Hpwda5pbWAZGg6dMOe,6,0djvqMepj2XkHfvWTqkH1N,120457
828,Jameson Rodgers,Cold Beer Calling My Name,3dV1fjKOlLnaNK5MeZHXGv,65,5pyVHz7lcfqKoV9BflFYwN,210480
829,Psalm Trees,bringmesun,0xekwqWRG4YmxY8kvfoVz2,5,5pmXkV6A8yQdoa64xzvZ0S,140487
830,Penelope Scott,Feel Better,6e0vjU61OuUzcqVKPEXHb4,68,3u6lPufHw4Oww6D88rv6sB,252630
831,Aviino,Such Great Heights,6iad6srF2PJ2rQkxTYHW8V,5,6poGVkPdF42Kfchhw1cu0J,207197
832,1nonly,Bunny Girl,7KVBqGLGhrEejVokzYd8vF,70,3ZHU5AKrUmIPnCFfr82QER,166896
833,xander.,Cozy Fire,37wFCg1zXCcFpW6iQkKi9v,5,6ysKfYgiKUTMCuq2fSTLK3,214374
834,Lefty Sm,Por Mi México,2sUknbm8xdLQgH7wb8xcTX,73,6eXHRfK9Ad3IpMpSAqvcDf,218250
835,Philanthrope,Anemone,6fRkH2ALayG6ZNK268MlSV,5,13ACz7DIictCpSYGglNTHs,112500
836,John Legend,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,69,5y2Xq6xcjJb2jVM54GHK3t,196906
837,G Mills,Ocean View,4LoEXEjzxUhEIqCRNLvo5Y,5,0djvqMepj2XkHfvWTqkH1N,183302
838,Olivia Rodrigo,All I Want,1v6svH1Fyx9C1nIt1mA2DT,72,1McMsnEElThX1knmY4oliG,177322
839,Marshmello,Happier,3jBWgVplhT8hliHo78nPgi,7,64KEffDW9EtZ1y2vBYgq8T,214289
840,Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],0IpnZchq8ek2A6pGEP2Qb1,65,4O15NlyKLIASxsJ0PrXPfz,238816
841,Juan Rios,Cascada,6rzGm812RGQTMv2B4bCdHj,5,0LhotT6TyZgkzuLSd6pspG,186909
